listing_id,price,borough,neighbourhood,price_per_month,latitude,longitude,description,room_type,host_name,last_review,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,booked_days_365
9704,52,Manhattan, Harlem,1581.666667,40.81305,-73.95466,Spacious 1 bedroom in luxe building,private room,Teri,2019-06-14,2,88,1.42,1,255,110
9782,55,Brooklyn, Greenpoint,1672.916667,40.72219,-73.93762,Loft in Williamsburg Area w/ Roof,private room,Andrea,2019-06-15,4,197,1.65,3,284,81
9783,50,Manhattan, Harlem,1520.833333,40.8213,-73.95318,back room/bunk beds,private room,Ssameer Or Trip,2019-07-01,3,273,2.37,3,359,6
10452,70,Brooklyn, Bedford-Stuyvesant,2129.166667,40.6831,-73.95473,Large B&B Style rooms,private room,Angela,2019-05-12,1,74,0.66,2,269,96
10962,89,Brooklyn, South Slope,2707.083333,40.66869,-73.9878,"Lovely room 2 & garden; Best area, Legal rental",private room,Laurie,2019-06-21,4,168,1.41,3,340,25
11708,85,Brooklyn, Bushwick,2585.416667,40.70186,-73.92745,Cute apt in artist's home,entire home/apt,Tyrome,2019-06-22,2,231,1.96,2,22,343
12048,40,Manhattan, Lower East Side,1216.666667,40.71401,-73.98917,LowerEastSide apt share shortterm 1,shared room,Ben,2019-07-05,1,214,1.81,4,188,177
12192,68,Manhattan, East Village,2068.333333,40.7229,-73.98199,ENJOY Downtown NYC!,private room,Edward,2019-06-21,2,245,2.08,2,96,269
12299,120,Brooklyn, South Slope,3650.0,40.66278,-73.97966,Beautiful Sunny Park Slope Brooklyn,entire home/apt,Abdul,2019-05-27,3,15,0.39,1,345,20
12318,135,Manhattan, Upper West Side,4106.25,40.79009,-73.97927,West Side Retreat,private room,Cyn,2019-06-16,4,81,0.69,1,273,92
12343,150,Manhattan, Harlem,4562.5,40.81175,-73.94478,BEST BET IN HARLEM,entire home/apt,Earl,2019-06-13,7,97,0.84,1,309,56
12627,150,Brooklyn, Prospect-Lefferts Gardens,4562.5,40.65944,-73.96238,Entire apartment in central Brooklyn neighborhood.,entire home/apt,Rana,2019-06-05,29,11,0.49,1,95,270
12937,130,Queens, Long Island City,3954.166667,40.74771,-73.9474,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,Orestes,2019-07-01,3,248,2.25,1,215,150
12940,110,Brooklyn, Bedford-Stuyvesant,3345.833333,40.68111,-73.95591,Charming Brownstone 3 - Near PRATT,entire home/apt,Adreinne,2019-05-25,7,61,0.52,1,265,100
13394,80,Brooklyn, Fort Greene,2433.333333,40.69142,-73.97376,Fort Greene brownstone,private room,Alexander,2019-06-17,3,135,1.16,2,192,173
13808,80,Brooklyn, Bedford-Stuyvesant,2433.333333,40.68043,-73.93934,Blue Room for 2 in Brownstone for $1350 monthly,private room,JT And Tiziana,2019-06-16,1,112,1.01,3,251,114
14287,151,Manhattan, Upper West Side,4592.916667,40.78635,-73.97008,Cozy 1BD on Central Park West in New York City,entire home/apt,Joya,2019-07-07,2,73,0.63,1,302,63
14290,228,Brooklyn, Williamsburg,6935.0,40.7042,-73.9356,* ORIGINAL BROOKLYN LOFT *,entire home/apt,James,2019-05-17,3,82,0.7,1,140,225
14314,144,Brooklyn, Greenpoint,4380.0,40.73506,-73.95392,Greenpoint Place...Has It All!,entire home/apt,Jeanne,2019-06-29,2,328,2.82,1,234,131
14322,200,Manhattan, Kips Bay,6083.333333,40.73961,-73.98074,Beautiful Apartment in Manhattan!!!,entire home/apt,Francesca,2019-03-25,7,19,0.22,1,257,108
14377,150,Brooklyn, Williamsburg,4562.5,40.70881,-73.9593,Williamsburg 1 bedroom Apartment,entire home/apt,Joanna,2019-06-22,30,105,0.9,1,30,335
14991,110,Manhattan, Lower East Side,3345.833333,40.72004,-73.99104,"Great Location, Manhattan Bedroom!",private room,Bianca,2019-05-18,5,19,0.17,1,301,64
15220,69,Manhattan, Hell's Kitchen,2098.75,40.75531,-73.99293,Best Location in NYC! TIMES SQUARE!,private room,Luiz,2019-06-09,2,289,2.49,2,294,71
15338,49,Brooklyn, Greenpoint,1490.416667,40.72401,-73.93788,Room in Greenpoint Loft w/ Roof,private room,Andrea,2019-06-04,4,138,1.19,3,320,45
15341,180,Manhattan, SoHo,5475.0,40.7221,-73.99775,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt,Ted,2019-06-29,30,21,0.3,1,154,211
15385,80,Brooklyn, Williamsburg,2433.333333,40.71185,-73.96204,"Very, very cozy place",private room,Cristina,2019-06-30,2,42,0.38,1,263,102
15711,250,Manhattan, Upper East Side,7604.166667,40.77065,-73.95269,2 bedroom - Upper East Side-great for kids,entire home/apt,D,2019-03-30,2,66,0.57,2,231,134
16326,200,Brooklyn, Prospect Heights,6083.333333,40.67811,-73.96428,Comfortable 4-bedroom apt in family house.,entire home/apt,Dimitri,2019-01-26,30,143,1.33,2,297,68
16421,52,Manhattan, Hell's Kitchen,1581.666667,40.75979,-73.99119,Your Heaven in Hells Kitchen,private room,Mark,2019-05-16,30,191,1.65,1,191,174
16580,80,Manhattan, East Village,2433.333333,40.72649,-73.97904,"Sunny, Modern room in East Village!",private room,Reka,2019-07-01,1,338,4.72,2,72,293
16595,275,Brooklyn, Williamsburg,8364.583333,40.70933,-73.96792,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt,Daniel,2019-06-23,1,148,1.4,1,362,3
16821,99,Manhattan, East Village,3011.25,40.72298,-73.98474,Large Room in Amazing East Village Apt,private room,Casey,2019-06-21,1,106,1.26,2,336,29
16974,225,Manhattan, East Harlem,6843.75,40.80164,-73.93922,SpaHa Loft: Enormous and Bright,entire home/apt,Robin,2019-06-23,4,190,1.64,1,215,150
17092,51,Manhattan, Hell's Kitchen,1551.25,40.76342,-73.98865,Cool Room in Hell's Kitchen,private room,Enzo,2019-06-01,7,23,0.43,1,88,277
17693,65,Manhattan, Washington Heights,1977.083333,40.83139,-73.94095,"HARLEM, NEW YORK WELCOMES YOU!!",private room,Tye And Etienne,2019-06-18,2,49,1.6,2,336,29
17747,105,Brooklyn, Clinton Hill,3193.75,40.68346,-73.96374,BLUE TRIM GUEST HOUSE,private room,George,2019-06-26,2,105,0.92,1,304,61
18127,190,Manhattan, East Village,5779.166667,40.72828,-73.98801,Charming East Village One Bedroom Flat,entire home/apt,Josh,2019-01-02,5,21,0.2,1,224,141
18152,200,Manhattan, Upper East Side,6083.333333,40.76865,-73.95058,Manhattan Room,private room,Victoria,2019-07-09,1,142,1.5,1,322,43
18198,70,Queens, Woodside,2129.166667,40.75038,-73.90334,Little King of Queens,private room,Justin,2019-05-31,30,25,0.22,1,324,41
18590,95,Brooklyn, Fort Greene,2889.583333,40.6932,-73.97267,Fort Greene Retreat on the Park,private room,Blaise,2019-06-16,3,143,1.28,1,132,233
18728,150,Manhattan, Chelsea,4562.5,40.74138,-74.00197,Beautiful Meatpacking District Loft,private room,DAVID And RICK,2019-05-28,3,167,1.65,1,295,70
18764,145,Brooklyn, Williamsburg,4410.416667,40.71154,-73.96112,Cozy 2 BR in Williamsburg,private room,Lulú,2019-04-22,3,61,0.54,4,238,127
19159,110,Manhattan, Harlem,3345.833333,40.82915,-73.95136,Spacious luminous apt Upper West NYC,entire home/apt,Sybilla,2019-03-23,31,54,0.49,1,209,156
19169,285,Manhattan, Lower East Side,8668.75,40.71851,-73.98892,Entire 2 Bedroom - Large & Sunny,entire home/apt,JoLynn,2019-06-30,5,70,0.62,1,328,37
19282,130,Brooklyn, Flatbush,3954.166667,40.65401,-73.96323,"Sunny, Spacious Top Floor Haven",entire home/apt,Gaia,2019-06-15,6,16,0.15,1,38,327
19319,94,Manhattan, Lower East Side,2859.166667,40.7114,-73.98794,Private room Great Deal at Lower East Side,private room,Ana,2019-04-08,30,94,0.84,1,188,177
20299,60,Manhattan, East Village,1825.0,40.72334,-73.9844,Oh glorious spring!,private room,Edward,2019-06-30,3,194,1.73,1,26,339
20611,85,Brooklyn, Williamsburg,2585.416667,40.71156,-73.96218,Cozy Bedroom in Williamsburg 3 BR,private room,Lulú,2019-06-22,3,174,1.54,4,288,77
20724,65,Brooklyn, Bushwick,1977.083333,40.70032,-73.9383,Sunny room+Pvte office in huge loft,private room,Augustin,2019-05-26,4,24,0.28,1,317,48
20734,131,Brooklyn, Prospect Heights,3984.583333,40.68233,-73.97261,Spacious Prospect Heights Apartment,entire home/apt,Sean & Lynette,2019-06-27,4,166,3.4,1,207,158
20755,98,Brooklyn, Clinton Hill,2980.833333,40.68634,-73.966,"Large Parlor Room, Landmark Home 1 block to PRATT",private room,Erica,2019-05-31,7,16,0.2,6,185,180
20853,250,Brooklyn, Prospect Heights,7604.166667,40.68035,-73.97162,2-bed brownstone duplex + garden,entire home/apt,Tracy,2019-05-21,7,21,0.3,1,158,207
21293,105,Brooklyn, Bushwick,3193.75,40.70093,-73.92609,Sunny Apartment in Artist Home,entire home/apt,Tyrome,2019-06-18,3,118,1.05,2,9,356
21456,140,Manhattan, Upper West Side,4258.333333,40.79764,-73.96177,Light-filled classic Central Park,entire home/apt,Dana,2019-07-07,3,81,0.71,1,198,167
21794,98,Manhattan, Chelsea,2980.833333,40.74008,-74.00271,COZY QUIET room 4 DOOGLERS!,private room,Olan,2019-05-01,30,30,0.27,2,364,1
22918,60,Manhattan, Harlem,1825.0,40.82279,-73.95139,loft bed - near transportation-15min to times sq,private room,Ssameer Or Trip,2019-01-03,3,11,0.87,3,219,146
23135,175,Brooklyn, Carroll Gardens,5322.916667,40.67967,-74.00154,House On Henry (3rd FLR Suite),entire home/apt,Annette,2019-06-24,2,233,2.09,3,342,23
23686,500,Manhattan, West Village,15208.33333,40.73096,-74.00319,2000 SF 3br 2bath West Village private  townhouse,entire home/apt,Ann,2019-05-18,4,46,0.55,2,243,122
24143,101,Brooklyn, Williamsburg,3072.083333,40.71332,-73.94177,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room,Seth,2019-05-29,3,335,3.02,1,152,213
25235,125,Brooklyn, Bedford-Stuyvesant,3802.083333,40.68373,-73.92377,Large 2 Bedroom Great for Groups!,entire home/apt,Shelly,2019-06-28,90,162,1.46,2,137,228
25696,100,Manhattan, Harlem,3041.666667,40.8092,-73.94421,"1,800 sq foot in luxury building",private room,Dena,2019-06-23,2,170,1.61,1,346,19
26362,59,Manhattan, Hell's Kitchen,1794.583333,40.75527,-73.99291,"Times Square, Safe, Clean and Cozy!",private room,Luiz,2019-06-16,2,334,3.0,2,279,86
26520,125,Brooklyn, Clinton Hill,3802.083333,40.68698,-73.96572,"Cozy Room #3, Landmark Home 1 Block to PRATT",private room,Erica,2019-06-02,2,19,0.2,6,250,115
26969,325,Brooklyn, Williamsburg,9885.416667,40.71942,-73.95748,2 story family home in Williamsburg,entire home/apt,Alexandra,2019-06-23,3,324,3.01,1,107,258
27006,235,Manhattan, Upper West Side,7147.916667,40.77823,-73.97637,Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt,Stacy,2019-04-27,6,27,0.27,1,199,166
27385,225,Manhattan, East Village,6843.75,40.72555,-73.97965,Great Large 1 BR apt  in East Village!,entire home/apt,Bruce,2019-06-07,1,115,1.05,4,299,66
27531,99,Brooklyn, South Slope,3011.25,40.66831,-73.98604,Eveland Private Bed & Living Room w/ Own Entrance,private room,Evelyn,2019-05-20,2,354,3.2,3,20,345
27644,170,Manhattan, Harlem,5170.833333,40.82754,-73.94919,Sugar Hill Rest Stop,entire home/apt,Emma,2019-07-01,2,195,2.03,1,318,47
27759,170,Manhattan, Upper West Side,5170.833333,40.77842,-73.97556,apartment next to Central park,entire home/apt,Sylvie,2019-06-26,7,13,0.12,1,224,141
29013,70,Brooklyn, Bedford-Stuyvesant,2129.166667,40.68332,-73.9547,B & B Room 1,private room,Angela,2019-05-14,3,63,0.58,2,310,55
29455,120,Manhattan, Harlem,3650.0,40.81618,-73.94894,ACCOMMODATIONS GALORE #1,entire home/apt,Laurine,2019-06-20,3,155,1.42,3,213,152
29628,89,Brooklyn, Clinton Hill,2707.083333,40.68414,-73.96351,Sunny Room in New Condo,private room,Chris,2019-07-03,3,260,2.35,1,278,87
29683,185,Manhattan, East Village,5627.083333,40.72392,-73.99143,Stylish & Sleek Apartment Near SoHo!,entire home/apt,Uli,2019-06-25,5,73,0.66,1,209,156
30031,50,Brooklyn, Greenpoint,1520.833333,40.73494,-73.9503,NYC artists‚Äô loft with roof deck,private room,Sol,2019-05-20,3,193,1.86,1,0,365
30927,105,Manhattan, Lower East Side,3193.75,40.71341,-73.98856,Unique & Charming small 1br Apt. LES,entire home/apt,Cs,2019-06-14,3,32,0.29,1,16,349
31130,130,Manhattan, Hell's Kitchen,3954.166667,40.76754,-73.98399,Most Central Location!,private room,Lara,2019-05-26,2,50,0.45,3,234,131
31555,115,Manhattan, West Village,3497.916667,40.73442,-74.00303,Luminous Beautiful West Village Studio,entire home/apt,Tom,2019-07-01,29,26,0.25,1,12,353
31902,77,Brooklyn, Flatlands,2342.083333,40.63188,-73.93248,Sanctuary in East Flatbush,private room,Sunder,2019-01-01,2,2,0.02,1,178,187
31994,76,Brooklyn, Clinton Hill,2311.666667,40.6873,-73.9634,Room with En Suite Bathroom & Deck,private room,Waldemar,2019-06-24,2,426,3.89,3,275,90
32023,125,Brooklyn, Bedford-Stuyvesant,3802.083333,40.68296,-73.93662,FLAT MACDONOUGH,entire home/apt,Khem,2019-06-23,3,227,2.09,2,163,202
32037,135,Brooklyn, Clinton Hill,4106.25,40.6863,-73.96765,Huge Private  Floor at The Waverly,private room,Sahr,2019-07-01,4,84,0.77,3,365,0
32965,115,Brooklyn, Bedford-Stuyvesant,3497.916667,40.68281,-73.93524,FLAT MACDONOUGH GARDEN,entire home/apt,Khem,2019-06-20,3,124,1.72,2,170,195
32969,160,Brooklyn, Williamsburg,4866.666667,40.71596,-73.93938,Light filled Williamsburg Apartment,entire home/apt,Katherine,2019-07-02,3,11,0.11,1,188,177
33009,195,Brooklyn, Williamsburg,5931.25,40.71492,-73.95935,Retreat in Williamsburg,entire home/apt,Ming,2019-06-17,4,240,2.19,1,214,151
33014,195,Manhattan, East Village,5931.25,40.72354,-73.98295,NYC Zen,entire home/apt,Paula,2019-06-17,3,30,0.28,1,248,117
33223,80,Brooklyn, Williamsburg,2433.333333,40.71165,-73.96087,Cozy BR in Wiliamsburg 3 Bedroom,private room,Lulú,2019-06-22,3,200,1.86,4,262,103
34760,44,Brooklyn, Fort Greene,1338.333333,40.69101,-73.97312,Sunny Room in Old Historical Brooklyn Townhouse,private room,Obed,2019-06-29,8,27,1.05,5,280,85
35526,156,Manhattan, West Village,4745.0,40.73474,-74.00101,Sun Filled Classic West Village Apt,private room,Karen,2019-06-22,4,79,0.74,1,307,58
36133,125,Brooklyn, Williamsburg,3802.083333,40.71536,-73.96057,Classic Artist Loft Williamsburg,private room,White,2019-06-13,3,155,1.61,1,1,364
36703,225,Manhattan, West Village,6843.75,40.73226,-74.00401,"Sunny, clean 1 bdrm in W. Village",entire home/apt,Karene,2019-03-31,45,134,1.24,1,312,53
38638,219,Manhattan, Upper East Side,6661.25,40.77711,-73.9527,Light and Airy Upper East Side 1 BDR apartment,entire home/apt,Sara,2019-06-26,4,126,1.16,2,290,75
39267,99,Manhattan, Upper East Side,3011.25,40.77456,-73.95323,CENTRAL PARK LOFT all for YOU,entire home/apt,Marie,2019-06-08,1,234,2.6,2,164,201
39282,69,Brooklyn, Williamsburg,2098.75,40.71088,-73.95055,Indie-Chic Share In Williamsburg,private room,Gus,2019-05-28,4,202,1.86,2,53,312
39593,79,Queens, Sunnyside,2402.916667,40.74559,-73.92313,"A room w/ a Manhattan view, longer stay",private room,Myung,2019-04-12,30,28,0.26,1,126,239
39704,135,Brooklyn, Bedford-Stuyvesant,4106.25,40.68306,-73.94659,"Private, Large & Sunny 1BR w/W&D",entire home/apt,Renée,2019-06-22,2,309,2.86,2,3,362
41348,250,Brooklyn, Gowanus,7604.166667,40.66858,-73.99083,* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt,Syl,2019-07-06,2,80,2.17,1,0,365
42580,70,Brooklyn, Clinton Hill,2129.166667,40.68843,-73.96408,Parlor Room In Victorian Townhouse,private room,Waldemar,2019-06-24,2,294,3.47,3,336,29
42729,165,Brooklyn, Carroll Gardens,5018.75,40.6783,-74.00135,House On Henry (2nd FLR Suite),entire home/apt,Annette,2019-06-18,2,150,1.4,3,342,23
42882,70,Staten Island, St. George,2129.166667,40.64524,-74.08088,New York room with a view,private room,Newyorkroomwithaview,2019-06-13,2,166,1.66,1,312,53
43957,50,Brooklyn, Bushwick,1520.833333,40.70641,-73.91765,Sunny cozy room in Brklyn townhouse,private room,Tessa,2019-06-19,2,47,0.94,1,37,328
44096,40,Bronx, Highbridge,1216.666667,40.83232,-73.93184,Room with a View,private room,Waundell,2019-07-04,1,219,2.04,3,353,12
44212,125,Manhattan, East Village,3802.083333,40.72518,-73.98034,West Inn 2 - East Village,private room,Bruce,2019-06-23,1,84,0.78,4,310,55
44221,196,Manhattan, Financial District,5961.666667,40.70666,-74.01374,Financial District Luxury Loft,entire home/apt,Coral,2019-06-20,3,114,1.06,1,0,365
44229,110,Brooklyn, Fort Greene,3345.833333,40.69098,-73.97113,BROOKLYN VICTORIAN STYLE SUITE.....,private room,Carol,2019-06-24,2,213,2.0,2,321,44
44288,170,Manhattan, West Village,5170.833333,40.73756,-74.00405,Your own Lovely West Village Studio,entire home/apt,Sara,2019-06-01,3,86,0.8,1,246,119
44506,165,Manhattan, Harlem,5018.75,40.81526,-73.94791,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt,Laurine,2019-05-26,3,80,0.75,3,231,134
45556,65,Brooklyn, Fort Greene,1977.083333,40.68863,-73.97691,"Fort Greene, Brooklyn: Center Bedroom",private room,Doug,2019-06-30,2,206,1.92,2,0,365
45910,350,Queens, Ridgewood,10645.83333,40.70382,-73.89797,Beautiful Queens Brownstone! - 5BR,entire home/apt,Mark,2019-05-12,8,10,0.11,5,365,0
45936,99,Manhattan, Morningside Heights,3011.25,40.80549,-73.95924,Couldn't Be Closer To Columbia Uni,private room,Rahul,2019-05-14,4,122,1.18,2,233,132
45940,200,Brooklyn, Williamsburg,6083.333333,40.71627,-73.9587,Bright Spacious Luxury Condo,entire home/apt,Miyoung,2019-04-08,4,33,0.58,1,1,364
46544,150,Brooklyn, Park Slope,4562.5,40.67994,-73.97863,Park Slope haven 15 mins from Soho,entire home/apt,Monica,2019-06-05,5,52,0.5,1,18,347
46723,90,Brooklyn, Bedford-Stuyvesant,2737.5,40.67992,-73.9475,SAFE  AND BEAUTIFUL ACCOMODATION,private room,Marylyn,2019-05-19,3,126,1.17,4,343,22
46911,120,Brooklyn, Prospect Heights,3650.0,40.67868,-73.97307,Large Room in private Brownstone in Park Slope,private room,Kathleen R.,2019-06-24,3,51,0.48,3,250,115
47199,75,Manhattan, Upper East Side,2281.25,40.76834,-73.95334,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room,Teresa,2019-06-24,3,199,1.85,1,326,39
47926,275,Manhattan, Hell's Kitchen,8364.583333,40.76307,-73.99665,LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt,Claudia,2019-06-26,1,41,0.38,1,299,66
48719,299,Manhattan, Lower East Side,9094.583333,40.71882,-73.98852,Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt,Shane,2019-06-15,2,109,1.04,1,207,158
50447,135,Brooklyn, South Slope,4106.25,40.6693,-73.98804,Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt,Laurie,2019-06-22,5,151,1.43,3,162,203
51485,83,Manhattan, Lower East Side,2524.583333,40.72319,-73.99201,Lower East Side $57~/night,private room,Erina,2019-06-22,1,285,2.69,1,7,358
51572,123,Manhattan, Chelsea,3741.25,40.74859,-73.99671,Prime Location in Manhattan,private room,Lee,2019-06-18,1,375,3.52,1,328,37
51850,55,Queens, Jamaica,1672.916667,40.67252,-73.76597,( F) Excellent/Pvt Rm,private room,Jullett,2019-05-20,2,52,0.49,2,365,0
53137,195,Manhattan, Hell's Kitchen,5931.25,40.76244,-73.99271,"Quiet, sunny Midtown Manhattan apt.",entire home/apt,Marlaine,2019-07-01,5,10,1.01,1,0,365
53477,265,Queens, Middle Village,8060.416667,40.71546,-73.87854,3 floors of luxury!,entire home/apt,Mark,2019-04-27,7,38,0.38,5,365,0
54158,249,Brooklyn, Williamsburg,7573.75,40.7195,-73.95976,The Institute‚ÄîHeart of Williamsburg,entire home/apt,Bob,2019-06-20,2,358,3.44,2,164,201
54508,100,Brooklyn, Prospect Heights,3041.666667,40.6787,-73.97262,Sml Rm in pr Brst  Park Sl great for Med/students,private room,Kathleen R.,2019-06-06,2,226,2.12,3,250,115
54544,121,Manhattan, Harlem,3680.416667,40.81035,-73.94598,City Room - Private Penthouse Apt.,entire home/apt,Wayne,2019-06-22,1,104,1.0,5,247,118
54626,45,Bronx, Highbridge,1368.75,40.83075,-73.93058,Cozy bedroom by Yankee Stadium,private room,Waundell,2019-06-30,1,138,1.45,3,323,42
54860,100,Manhattan, East Harlem,3041.666667,40.79958,-73.94275,Great apartment with private bathroom and entrance,private room,Jenny,2019-06-23,5,204,1.92,1,192,173
55467,140,Brooklyn, Williamsburg,4258.333333,40.71625,-73.93845,Private Garden Apt ‚Ä¢ New Renovation,entire home/apt,Paul,2019-07-02,2,253,3.04,1,125,240
55498,71,Brooklyn, Bedford-Stuyvesant,2159.583333,40.6829,-73.93549,Modern comfort in art infused landmark Brownstone,private room,Tami,2019-07-01,2,23,0.22,1,91,274
55737,199,Manhattan, West Village,6052.916667,40.72861,-74.0049,Sleek & Comfortable Soho Apt,entire home/apt,Pete,2019-05-19,5,129,1.22,1,286,79
55959,69,Brooklyn, Williamsburg,2098.75,40.70979,-73.95162,Spacious Williamsburg Share w/ LOFT BED,private room,Gus,2019-06-10,4,82,1.13,2,60,305
56467,130,Manhattan, East Village,3954.166667,40.72752,-73.98432,Cozy East Village Railroad 1 Bed!,entire home/apt,Leonardo,2019-07-01,1,204,2.04,1,192,173
56525,195,Brooklyn, Greenpoint,5931.25,40.729,-73.95829,1 Bedroom Loft w/ Private Roof Deck,entire home/apt,Alex,2019-06-13,2,69,0.65,1,58,307
56859,64,Manhattan, Harlem,1946.666667,40.81219,-73.94499,City Room - Private & Comfy Bedroom,private room,Wayne,2019-06-03,1,192,1.84,5,245,120
57166,140,Queens, Ditmars Steinway,4258.333333,40.77185,-73.90502,Elegant NYC Pad,entire home/apt,Vasili,2019-06-17,2,17,0.16,1,292,73
57297,159,Brooklyn, Cobble Hill,4836.25,40.68926,-73.99386,"Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt,S.M.,2019-06-24,2,222,2.12,1,279,86
57468,189,Manhattan, East Village,5748.75,40.72821,-73.98701,"Modern, Large East Village Loft",entire home/apt,Ori,2019-06-23,3,205,1.96,1,0,365
57618,250,Manhattan, Hell's Kitchen,7604.166667,40.7672,-73.98508,"Great new apt, close to everything",entire home/apt,Ana,2019-06-09,3,94,0.96,1,3,362
57740,239,Manhattan, East Village,7269.583333,40.73012,-73.99053,Quiet & Clean Retreat in the City,entire home/apt,I,2019-05-24,3,7,0.07,1,351,14
57754,305,Manhattan, Flatiron District,9277.083333,40.7403,-73.98498,Stylish Large Gramercy Loft!,entire home/apt,R,2019-06-30,2,108,1.09,1,201,164
57874,155,Manhattan, Harlem,4714.583333,40.80931,-73.94343,The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt,Simon,2019-06-26,3,222,2.1,2,232,133
58059,60,Manhattan, Harlem,1825.0,40.8251,-73.94287,PRIVATE Room on Historic Sugar Hill,private room,Agnes,2019-07-03,1,458,4.58,2,258,107
58062,135,Brooklyn, Windsor Terrace,4106.25,40.6585,-73.98397,South Slope Green,private room,Linda,2019-05-17,2,21,0.26,1,272,93
